               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.023832,            0.011578,           0.0084588,             0.90942,             0.88964,             0.89672,             0.60627,            0.015338,           0.0035272,           0.0037855,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024743,            0.011344,            0.010032,             0.85558,              0.8715,             0.88695,             0.61233,            0.014357,           0.0036567,           0.0040468,           0.0071488,           0.0071488,           0.0071488
                 146,              0.0231,            0.011839,           0.0054766,             0.87691,             0.91817,             0.89753,             0.61262,            0.015302,           0.0037448,           0.0050124,            0.007129,            0.007129,            0.007129
                 147,            0.021813,            0.011636,           0.0051614,             0.87715,             0.88632,              0.9104,             0.63454,            0.014993,           0.0037986,           0.0050219,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023319,            0.011631,           0.0092228,             0.83992,             0.92597,             0.92778,             0.62578,            0.015521,           0.0039357,           0.0036425,           0.0070894,           0.0070894,           0.0070894
                 149,             0.02437,            0.011583,           0.0090518,             0.90743,             0.91009,             0.92063,             0.60305,            0.017105,           0.0040275,           0.0041821,           0.0070696,           0.0070696,           0.0070696
                 150,            0.026669,            0.011247,           0.0057902,             0.90503,             0.94595,             0.91376,             0.59855,            0.015181,           0.0040171,           0.0047592,           0.0070498,           0.0070498,           0.0070498
                 151,            0.025737,            0.011363,           0.0059631,             0.90355,             0.92926,             0.91457,             0.56492,            0.017751,           0.0041075,           0.0048723,             0.00703,             0.00703,             0.00703
                 152,            0.024317,            0.011454,           0.0064542,             0.88297,              0.9584,             0.96508,             0.66296,            0.015197,           0.0036355,           0.0021262,           0.0070102,           0.0070102,           0.0070102
                 153,            0.025018,            0.011455,           0.0099614,             0.98226,             0.88194,             0.96767,             0.65625,            0.016104,           0.0037091,           0.0023392,           0.0069904,           0.0069904,           0.0069904
